ax,ay,az,temp
-1.03,-6.99,-5.04,32.65
1.48,-6.53,-5.53,32.65
-0.49,-11.0,0.04,32.62
-3.37,-10.55,-1.97,32.64
-1.12,-6.9,-7.5,32.64
-3.27,-8.06,-4.3,32.62
0.53,-9.38,-2.02,32.64
0.71,-12.27,-0.49,32.67
-1.47,-8.87,-2.11,32.61
-3.5,-7.51,-5.6,32.6
-3.37,-7.23,-5.52,32.64
1.65,-9.89,-3.08,32.6
1.15,-13.09,1.04,32.57
-1.14,-9.98,-1.41,32.62
-1.88,-7.07,-6.01,32.62
-3.06,-9.38,-6.11,32.65
0.37,-10.07,-2.21,32.63
0.93,-10.8,-0.95,32.65
-2.2,-9.56,-1.6,32.58
-3.09,-7.29,-6.05,32.64
-3.79,-7.71,-5.19,32.65
-0.55,-9.28,-4.06,32.63
-2.06,-11.37,0.49,32.62
-0.74,-12.34,-1.04,32.62
-0.16,-10.56,-3.71,32.63
0.34,-5.98,-6.45,32.63
-0.28,-6.83,-4.57,32.63
-0.09,-12.11,0.36,32.62
